Instance,MD5,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,ee9a3768141236efcc4a858e8f92a7e9,0.314952,2.85157,1.24181,5000.0,5000.0,5000.0,5000.0,84.3012,44.8072,0.314951,0.356945,67.6177,42.8685,5000.0,10.4944,50.1704,5000.0,0.374942,5000.0,5000.0,5000.0,3.80942,1.38679,5000.0,5000.0,5000.0,5000.0,443.407,858.37
smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,a78f49949ed32c6f8eea9d5e428c909d,41.6327,46.8019,5.32819,13.471,12.6291,97.3982,104.823,307.267,175.722,911.722,923.933,6.12407,941.938,1123.21,968.161,580.903,7.03793,1264.87,10.7004,10.1115,10.4114,70.6353,42.6325,4.03239,5.03423,5.47617,6.08108,1543.89,1197.5
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,9059f458d76edcc4dc5681746a6de6e5,545.176,728.709,804.032,857.683,701.892,1179.61,854.908,402.3,306.282,745.663,551.264,664.104,223.246,5000.0,822.913,328.686,604.564,1604.48,1089.4,777.954,825.117,377.962,438.028,5000.0,595.317,482.946,748.72,5000.0,4780.74
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,3fad4722cb319d6fee4192f2fe2c31ed,313.638,293.212,260.041,479.126,501.487,330.528,248.399,166.066,218.981,176.901,270.329,317.663,216.691,5000.0,327.673,275.712,175.104,1031.07,321.375,251.094,256.602,171.551,275.42,5000.0,199.878,253.756,271.126,1594.48,1462.67
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,a4c7dbdc89378b1335eea4904f9f5cb5,379.874,338.654,374.083,806.025,790.726,555.118,467.569,270.73,171.494,272.391,274.191,318.676,168.041,5000.0,234.674,200.043,234.477,4036.76,321.488,339.598,348.17,174.456,258.996,5000.0,327.126,203.315,448.355,1897.19,1500.4
hitag2-8-60-0-0x880693399044612-25-SAT.cnf,aeee00b058006df18ef300029383e8fc,5000.0,445.922,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2933.45,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3789.06,5000.0,5000.0,5000.0,5000.0,1375.15,1683.5,5000.0,5000.0,5000.0,5000.0,5000.0
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,5d1253e2dcc0e3e55992672756beadbc,5000.0,5000.0,5000.0,5000.0,5000.0,3652.86,5000.0,2226.42,3021.38,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3597.13,5000.0,4825.86,1972.06,1931.58,5000.0,5000.0,5000.0,5000.0,1538.4,3378.2,5000.0,5000.0
hitag2-8-60-0-0xfba1a41b5dfd7f7-52.cnf,0ab64eaff80e0a5514ff8980890265d0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4153.92,5000.0,5000.0,5000.0,5000.0,5000.0,4109.92,3809.87,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-top26.cnf,7ecd2f8efd83504268f0a96fa44f6fe7,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3759.31,5000.0,5000.0,5000.0,5000.0,3692.94,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-bottom14.cnf,7af4cc1b94644f101ccf5f2373fdbfea,621.92,1635.25,5000.0,5000.0,5000.0,204.483,919.419,2628.31,5000.0,5000.0,5000.0,1220.43,916.982,5000.0,5000.0,1749.3,510.403,5000.0,5000.0,4175.93,4151.63,5000.0,5000.0,5000.0,2313.88,2629.95,5000.0,716.12,1162.59
slp-synthesis-aes-bottom13.cnf,f3c2fb082f5fbc8fb1f714d6ee13929d,253.973,86.2449,5000.0,5000.0,210.081,29.6195,94.4896,185.248,24.3143,216.512,1568.56,155.98,145.399,5000.0,1041.63,470.477,155.775,4282.29,862.299,5000.0,5000.0,815.483,2142.16,213.374,218.282,887.34,2996.56,388.775,5000.0
gus-md5-08.cnf,bf371ee8533d9890061ee05552bf96f1,283.214,230.04,176.564,260.429,163.914,470.494,392.512,164.717,82.3675,305.742,337.996,190.773,91.0332,2317.48,287.99,134.623,220.005,145.444,436.001,252.273,298.923,189.259,181.64,129.313,296.334,294.617,358.731,687.418,912.643
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,fce318b20c1a474ab81b77594d3f6f99,4206.27,481.085,3254.57,5000.0,4502.87,3597.85,1586.73,612.053,1325.11,1588.0,866.37,3391.66,1677.99,5000.0,5000.0,5000.0,917.539,5000.0,1034.75,1203.27,1227.22,5000.0,3354.99,5000.0,1141.95,683.209,1565.54,5000.0,2191.81
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,c6d3480970bb2819448dd0a800a3cf1c,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4533.56,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2086.66,5000.0,5000.0
arcfour_initialPermutation_6_14.cnf,4ee0eadfdf7df4b199b4080bd84f9235,486.218,402.638,783.762,541.483,547.036,498.019,482.793,449.948,436.006,479.784,563.212,408.484,380.162,1272.38,813.59,817.906,492.332,538.758,920.717,1.43778,5000.0,352.947,417.738,604.472,501.899,487.879,536.864,1163.33,1189.14
9dlx_vliw_at_b_iq9.cnf,9a43349587a435e7109b46b3aceb156e,3482.48,3463.7,4107.29,4703.0,5000.0,4063.62,3718.63,4492.15,3467.11,4527.87,4517.8,4166.96,5000.0,5000.0,4523.54,4392.06,4124.86,5000.0,3261.66,3021.45,3220.29,3493.75,5000.0,5000.0,3835.94,2211.02,3896.58,5000.0,5000.0
arcfour_initialPermutation_5_32.cnf,1d1f96fc6fc32d1d0b2f857c1940751b,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.313951,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_16.cnf,704e8012d8e15db1c118cecd8b08b401,1784.95,2324.2,3482.21,2213.26,2187.86,1964.64,1996.48,1985.64,1764.08,1821.4,2528.64,1690.14,4188.96,5000.0,1904.99,1913.69,1963.13,2170.53,2105.18,1.43878,5000.0,1478.76,1591.48,2018.58,1796.06,2202.47,1831.83,4825.58,2920.23
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,0176f3dd09fed1b561c875e1d6538c8d,114.147,368.868,1575.4,1795.78,327.645,229.689,405.117,858.005,5000.0,481.497,336.449,1588.49,1380.09,5000.0,1088.41,5000.0,328.545,125.426,462.753,117.429,125.002,1950.5,261.113,5000.0,230.067,1880.8,276.974,5000.0,1310.83
hitag2-8-60-0-0xdcdbc8bf368ee73-37.cnf,6a5255ba747fda42385aa05246a2e547,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4917.65,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3385.13,5000.0,5000.0,5000.0,5000.0,5000.0,3122.82,2442.06,2392.82,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_24.cnf,bed80a314b64134e49dd5961834beb4d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1.43978,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
beempgsol2b1.cnf,de7b5a6e3d1bd3b9bba95b9e04a1bea1,160.645,127.634,122.441,5000.0,5000.0,5000.0,2539.68,99.8868,73.4458,196.38,127.828,251.866,202.709,5000.0,525.1,120.619,136.86,1914.09,144.453,134.156,134.005,5000.0,5000.0,5000.0,95.0615,120.49,191.439,5000.0,5000.0
hitag2-8-60-0-0xa3b8497b8aad6d7-42.cnf,b4ee341ad808f2644dcdfb00d944fc03,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3748.14,3742.05,5000.0,5000.0,5000.0,5000.0,5000.0,3501.09,2283.5,3504.2,5000.0,5000.0,5000.0,5000.0,5000.0
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.040-NOTKNOWN.cnf,ce0d180356398dfbcfd2bbbb1cb3f9e5,625.894,634.197,4140.52,5000.0,5000.0,4707.22,4644.18,5000.0,5000.0,1603.11,5000.0,5000.0,1768.21,5000.0,3331.65,5000.0,801.457,5000.0,5000.0,4397.39,4450.15,5000.0,5000.0,5000.0,4309.41,3967.71,4723.81,5000.0,2199.2
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,f7484730351dc4088fd78fcb35b09c62,17.5933,295.816,41.8096,32.772,361.51,38.8481,44.6702,91.1311,99.2759,48.8446,66.5729,41.3707,138.648,446.646,172.214,581.19,15.8076,10.2294,17.3854,176.706,27.3348,17.0894,26.458,5000.0,7.56685,34.4228,12.3601,5000.0,960.522
arcfour_initialPermutation_6_40.cnf,31743001e16b6e164f0fd54bb1facb65,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1.42378,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
E02F20.cnf,3e5703cd522988fbb05dcac3c4dbbe9d,222.778,225.364,193.651,85.704,96.0904,113.66,217.702,310.762,414.546,18.2452,151.85,85.668,187.819,296.238,115.427,383.067,103.678,145.844,148.538,95.1925,97.1182,57.7492,730.872,63.0144,90.7282,76.0614,270.666,972.093,746.333
arcfour_initialPermutation_6_64.cnf,a53911f9eecf57f3cc2e54a74a22ff99,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1.51677,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
E02F22.cnf,0b29cb9f2e17f3e05b66912497d8cb84,261.658,549.785,758.527,1019.58,827.826,447.796,179.545,374.178,5000.0,116.631,156.504,1132.61,133.156,455.41,629.63,1124.87,73.8998,304.561,574.074,392.941,383.032,669.867,450.987,662.297,644.634,723.703,1420.38,5000.0,640.466
E04F19.cnf,724ced5489ef7e836f9b05218003acd5,302.349,61.8176,56.8084,50.8103,25.7031,79.173,55.8645,80.7887,235.999,18.2122,16.4375,58.2801,9.8295,47.5228,164.874,313.946,22.3146,102.001,29.1486,74.9276,75.0396,111.165,44.1173,37.8732,51.3622,72.24,69.1515,430.703,606.857
dated-5-19-u.cnf,3be331331884289c55e55acdeed55dc7,5000.0,5000.0,5000.0,5000.0,5000.0,3502.67,5000.0,5000.0,5000.0,4674.62,5000.0,5000.0,4813.4,5000.0,5000.0,5000.0,4029.76,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3276.21,5000.0,5000.0,5000.0
bob12s04.cnf,a7bd06f6d475655b73ad1a8f15d9a566,210.64,5000.0,1209.13,4419.85,5000.0,5000.0,5000.0,5000.0,5000.0,205.367,228.079,603.044,210.31,5000.0,1478.27,5000.0,429.119,244.309,721.223,873.291,722.78,5000.0,4356.21,637.442,711.765,540.63,942.77,5000.0,5000.0
q_query_3_L70_coli.sat.cnf,7fc9b20f0efe1e9457bd61eba8178674,32.829,53.5859,43.5644,134.181,122.235,57.9322,43.3374,119.396,238.007,29.4645,36.1825,49.5385,167.355,825.476,120.984,353.609,81.7716,60.2608,37.0184,253.458,39.9609,70.4503,142.743,131.173,36.2525,31.1533,67.8057,340.672,751.079
gss-22-s100.cnf,24798725911435c97d1fdfc6d6057704,5000.0,1375.85,5000.0,5000.0,5000.0,5000.0,5000.0,1895.53,2373.96,5000.0,5000.0,5000.0,127.559,5000.0,1862.3,1863.18,1563.22,5000.0,5000.0,5000.0,5000.0,1477.01,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
gss-21-s100.cnf,4088fb63f552da21c0e8cd91f519e724,3339.03,750.425,5000.0,4938.94,2921.3,5000.0,4703.56,2350.22,1351.59,5000.0,1449.12,4958.92,889.656,5000.0,5000.0,5000.0,3051.0,5000.0,3080.83,5000.0,5000.0,5000.0,573.931,3099.23,300.048,740.808,3129.73,5000.0,5000.0
hitag2-8-60-0-0xb2021557d918860-94.cnf,1b81e621ed8f53344c5cf5bcf85cb4de,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4719.75,5000.0,5000.0,5000.0,5000.0,5000.0,4508.24,4333.84,3288.43,5000.0,5000.0,5000.0,5000.0,5000.0
UCG-15-10p1.cnf,484dad50fb275faff8eff92c4d5447cb,807.477,1264.09,838.964,995.676,1502.72,3584.41,1262.1,333.166,668.504,522.822,1286.07,841.652,696.517,5000.0,786.371,779.171,1549.34,1455.1,1911.36,1000.44,1048.94,295.964,368.811,716.601,966.723,1419.94,1476.73,3217.28,991.296
vmpc_34.cnf,a27d41b3e10d867544cd2bff7d005be2,61.6506,2410.85,5000.0,406.162,5000.0,674.011,678.333,5000.0,136.096,5000.0,5000.0,3165.66,4505.74,5000.0,1124.26,5000.0,1924.24,3656.62,5000.0,400.477,403.361,5000.0,5000.0,5000.0,337.103,610.419,652.262,1208.66,5000.0
UTI-20-10p1.cnf,9573f6b4001373bab93d1a02f96820d1,2451.72,3119.38,1691.95,3261.53,2953.71,3201.09,2569.21,622.694,843.284,1871.17,1962.27,1450.8,1324.08,5000.0,2144.86,2148.61,1837.58,5000.0,3236.05,1962.68,1938.92,1657.24,1953.4,5000.0,2455.09,1733.08,2998.03,5000.0,2999.44
countbitssrl032.cnf,5bb6e70c95bda454f634cd586084908b,228.733,584.188,322.911,993.446,801.432,471.779,418.039,386.507,600.593,449.08,355.507,417.594,698.897,5000.0,805.004,805.374,341.433,1693.03,672.977,389.609,393.528,392.558,392.164,2675.92,360.579,691.047,543.65,5000.0,5000.0
ndhf_xits_19_UNKNOWN.cnf,4cf2a693df1b6e5a084b88e84ec5f2af,5000.0,404.931,363.141,472.419,17.2994,334.969,112.628,846.343,220.536,587.412,5000.0,1309.3,124.519,455.396,589.047,314.999,314.416,5000.0,366.627,121.706,120.563,48.5926,1.40579,5000.0,18.1532,613.619,74.2777,630.711,903.803
maxor128.cnf,e050fe11c7c50ba82ac7126f49db3c10,5000.0,5000.0,3239.89,4879.94,4476.1,4502.61,4160.21,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3037.48,3027.03,5000.0,5000.0,5000.0,5000.0,5000.0,2543.99,4487.17,5000.0,5000.0,4486.31,5000.0,5000.0,5000.0
maxxor032.cnf,e1a6f3a7c69cc7fbec84aac478eb151a,172.049,782.82,35.8775,789.959,347.31,210.673,203.737,47.7127,46.035,192.504,241.423,84.7831,489.38,5000.0,188.744,88.1126,150.429,2508.34,284.185,222.17,216.783,167.136,285.929,5000.0,91.912,62.1755,249.699,3338.79,1394.56
maxxor064.cnf,902b28046d424b16042ca612ddad48e0,1577.04,5000.0,459.678,5000.0,5000.0,4998.04,3039.82,1516.9,1016.67,4556.4,4868.84,3021.33,5000.0,5000.0,2597.77,2565.05,1731.86,5000.0,5000.0,3850.76,3867.5,2248.28,5000.0,5000.0,1689.04,974.767,2762.24,5000.0,5000.0
ctl_4291_567_11_unsat_pre.cnf,6b0e3f91a5898256b5fe6d23163fd1c9,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
velev-pipe-sat-1.0-b9.cnf,bb86eb13126177e1b128fa3186a4972b,2.82557,39.593,97.5292,88.2466,87.2567,36.2795,33.8129,66.9948,500.45,6.02908,3.3085,104.162,82.7374,449.59,539.195,820.172,47.9437,9.68653,101.127,731.286,314.658,30.0954,49.1875,114.403,35.4286,102.378,298.227,5000.0,605.827
6s103.cnf,cc9b5c12434644017aea4b04e2d88a8a,4654.58,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4365.73,4462.51,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ACG-20-5p1.cnf,8eb175d312e8be3bb4695a79b8f45bdc,814.264,1598.62,617.648,2030.74,848.98,1837.92,1590.94,282.237,407.617,1442.38,1046.1,1076.92,524.922,5000.0,918.912,917.639,2527.23,874.194,3505.74,2064.69,2032.9,356.146,329.811,901.932,790.414,1240.91,1610.41,5000.0,5000.0
9vliw_m_9stages_iq3_C1_bug6.cnf,0e9412385af2433f77994a2100fac3f8,64.3432,79.2799,70.2053,383.243,131.111,64.9881,64.6452,234.858,429.748,44.7632,24.6483,66.5459,491.094,252.428,577.295,975.948,262.351,28.3177,83.8782,238.689,235.989,113.981,115.388,90.4013,40.7618,89.6544,195.585,45.6301,44.0233
AProVE07-03.cnf,8c77a392a867268ecc0719c3f8c74f13,78.601,316.38,680.267,1603.78,1660.98,806.229,323.646,971.332,540.243,476.173,207.388,223.201,688.618,4489.62,664.912,1119.69,155.07,1869.79,320.242,191.277,191.356,557.974,338.109,362.105,192.163,335.215,207.83,1625.95,1208.95
dated-10-11-u.cnf,696c4f91b3f887adc571cf2a229f67b7,686.249,387.908,572.647,992.919,1396.01,561.96,420.749,307.476,301.607,651.746,653.872,395.481,186.887,2659.48,756.775,341.413,318.779,2401.85,989.881,538.467,544.302,331.908,639.794,1557.24,404.124,260.64,726.232,4409.05,2707.01
partial-10-17-s.cnf,f72920912a1bb14f90e9fea5dee0ec1c,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3450.86,5000.0,116.706,5000.0,3047.07,5000.0,92.362,5000.0,5000.0,346.296,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4921.63,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
velev-vliw-uns-4.0-9.cnf,0c9a15d0f561e9d1bb438b04ae3c31af,146.211,5000.0,237.481,160.461,218.083,204.171,196.182,541.892,373.274,155.128,150.848,129.847,510.985,1607.82,224.051,837.638,373.689,3696.23,127.349,159.714,167.128,356.81,405.212,5000.0,116.888,90.6282,424.68,2349.24,779.58
grieu-vmpc-31.cnf,ed08712c88c581f81b2a3952fd4c066d,881.844,40.6238,266.965,58.1512,5000.0,54.1438,1837.57,5000.0,5000.0,604.071,544.024,1249.88,1918.95,5000.0,1055.17,3898.22,404.804,1419.9,5000.0,1494.63,1493.18,5000.0,1765.47,5000.0,2718.0,962.837,311.814,3585.27,1202.93
ACG-15-10p1.cnf,4f02dda0c6b1f76f43bce732093e4f1f,1680.07,2961.76,2142.98,1459.86,1246.58,3719.93,1575.3,540.19,1234.66,1850.01,1737.38,1536.1,985.199,5000.0,940.94,933.172,1668.8,1842.47,2615.47,1905.46,1897.79,416.113,357.833,2352.58,1949.61,1260.01,3709.72,5000.0,4215.09
bob12m06.cnf,6db02f0bedf1a4caeadf2eb6379ba0d8,2571.3,5000.0,2931.45,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3227.52,2962.9,2584.21,4282.17,5000.0,5000.0,5000.0,5000.0,5000.0,4413.84,3894.44,2929.1,5000.0,5000.0,5000.0,2988.3,4072.57,3148.66,5000.0,5000.0
6s19.cnf,6d6ea0b1f1ea02616a3d7384af6eed39,363.736,479.568,1224.22,2796.59,2275.91,1371.35,1297.01,1322.47,1663.95,936.175,535.9,943.581,1853.35,5000.0,931.38,4481.25,595.069,4657.03,530.431,582.833,653.02,4134.23,5000.0,5000.0,469.574,736.12,491.401,5000.0,3441.61
