Instance,MD5,Nigma-DRUP,Nigma-NoPB-DRUP,minisat_bit_u,forl,SAT4J Certified,forl,Lingeling,glucose,glueminisat-cert-unsat,Riss3g,minisat DRUP
pb_400_09_lb_02.cnf,e22875fadec2a8e9b80784433bd842a0,70.0374,85.263,1796.28,87.3557,5000.0,135.589,154.548,68.3306,246.608,91.3871,122.136
pb_200_03_lb_01.cnf,45856fa1c0551bee182ad770c6c630f5,254.777,231.077,1519.31,215.879,5000.0,234.496,5000.0,124.034,266.317,165.352,687.456
SAT_dat.k65.cnf,e98679e9ca14c8efe61801a0fcff067d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1768.63,4669.5,4050.78,5000.0,5000.0
hitag2-10-60-0-0xe14721bd199894a-99.cnf,b0660b63322faca9d4f15768c053f4ce,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_200_03_lb_02.cnf,fe46231aeb971484e4629968e592cd86,1784.57,1295.02,3335.02,340.644,5000.0,323.14,5000.0,132.794,455.996,185.826,1010.89
hitag2-10-60-0-0xb7b72dfef34c17b-39.cnf,6a2df4cc1449e232eed53898f4b1d68d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_400_09_lb_04.cnf,1ccd376320f6c4099276cb6eeeb1ab16,606.329,402.233,5000.0,520.596,5000.0,567.362,1269.18,247.846,1391.06,5000.0,5000.0
hitag2-10-60-0-0xbc15b17d0353413-10.cnf,cc8cb7d7dcc7a7a4b700f51963a9f808,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4823.75,5000.0,5000.0,5000.0
hitag2-10-60-0-0xa360966c6eb75c4-62.cnf,9dcd6a61aea4a8e717254ffb85647144,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_400_09_lb_03.cnf,4fb52fca19ef884a8b6969232f9f8b97,164.966,184.034,4837.16,338.219,5000.0,329.676,328.389,94.8786,387.191,166.974,641.103
countbitssrl032.cnf,5bb6e70c95bda454f634cd586084908b,988.605,820.54,636.137,429.436,5000.0,267.065,510.207,435.647,251.301,551.189,1411.86
bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98.cnf,eb8b99f8e2cdbee66eaf4ea8419e75f5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,d86dacf24a85f1fb713a14e29fdd2ad3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43.cnf,a2de7ecb3149f61c2513bce2556f5acc,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
6s137.cnf,71c614b6f032a2f12dc38b17980447ad,5000.0,5000.0,1998.77,5000.0,5000.0,5000.0,4687.08,5000.0,5000.0,5000.0,2700.18
gus-md5-08.cnf,bf371ee8533d9890061ee05552bf96f1,258.717,163.995,103.62,185.739,2902.53,184.841,168.554,256.194,267.869,362.244,112.68
6s166.cnf,d87ac44eb97ddcaee2885f6c13e85a3d,5000.0,5000.0,371.191,60.2048,5000.0,54.7697,5000.0,175.148,258.019,124.63,1238.28
ACG-20-5p0.cnf,5e956ccef0af80a5902eec4f20a58f83,1013.77,1668.66,2661.47,409.103,4151.55,346.729,858.147,389.166,786.074,2029.43,1703.55
UTI-20-10p0.cnf,209f7789e3588d11f275f2003f2c6a67,1588.79,1642.68,3945.51,696.709,5000.0,619.157,1404.86,716.99,794.115,1063.12,2843.36
maxor064.cnf,1b9f66ce669cbbf957e744e9391cf971,97.7371,96.8903,306.654,193.406,5000.0,153.513,300.739,233.642,242.04,288.718,1871.93
bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99.cnf,1400db6093770839163f38a753b0a20c,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ACG-15-10p0.cnf,d8dd0726277891eae9a2807dfd8946db,1426.65,1156.87,2133.85,715.108,5000.0,688.409,953.287,1138.26,822.526,2144.63,934.544
bob12m04.cnf,221247dd9b625ab6ef104f151f99f450,4700.67,5000.0,101.726,5000.0,5000.0,5000.0,3756.56,148.247,165.056,234.985,111.506
bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63.cnf,a2fa71375a40959c943fd51fff0734e5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34.cnf,bef254c57046df26a58922faf53bd464,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
AProVE07-02.cnf,4091fe387de1d8dc081a8ac19da38bdb,429.874,507.02,952.236,443.352,770.296,367.977,237.745,411.747,394.402,481.507,685.713
6s165.cnf,354e1fffa4af99470dcb0ad940b8e7bb,5000.0,5000.0,229.049,18.5902,5000.0,20.1049,5000.0,69.2715,129.747,5000.0,1023.17
6s153.cnf,54348e9192048135db0be22864d20c58,78.2031,213.211,5000.0,5000.0,5000.0,5000.0,5000.0,90.6362,378.631,106.194,5000.0
6s9.cnf,f54470bb4dfb69405565690000e6ad0d,2221.03,1785.64,5000.0,1206.32,5000.0,1031.09,5000.0,382.556,787.22,670.293,5000.0
6s126.cnf,31dc7c0e4b44b910921e279423c0ab43,534.778,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2342.42,5000.0,5000.0
6s133.cnf,87011213a5f53bb556d2e43776b67802,1975.65,1554.86,5000.0,820.363,5000.0,882.005,5000.0,352.887,353.352,453.126,5000.0
9dlx_vliw_at_b_iq4.cnf,6fcbaf8c6c7ed0c41d8ac12258cafaee,500.972,675.214,5000.0,460.339,5000.0,241.609,348.615,320.686,510.519,490.264,5000.0
dated-10-11-u.cnf,696c4f91b3f887adc571cf2a229f67b7,1006.2,1395.74,1814.64,379.447,5000.0,293.004,5000.0,626.192,242.09,739.05,2486.09
6s139.cnf,ed6052d7ff9094ceca2340e6f2abf5af,4806.21,5000.0,2809.1,5000.0,5000.0,5000.0,4667.86,5000.0,4952.92,5000.0,2423.05
beempgsol5b1.cnf,b7d7cc3ee4e6e066c15c34f841c0e961,4359.5,4744.48,5000.0,125.744,5000.0,106.253,5000.0,112.349,135.117,161.53,3625.61
ctl_4291_567_10_unsat.cnf,605552b8a4c3682ea141de557f284722,1006.01,1034.62,1273.42,1225.92,5000.0,1272.5,5000.0,440.512,549.725,639.13,978.288
SAT_dat.k85.cnf,5039894e4acfbd347d86db1e0b40801e,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
SAT_dat.k100.cnf,eee4630cdd1939510afc0bd0396af539,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
aaai10-planning-ipc5-pipesworld-12-step15.cnf,86980f7370ece00291f2970256db731a,499.84,439.929,239.854,121.87,5000.0,158.834,297.527,183.295,210.46,277.047,678.845
bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50.cnf,6ab7d7e8f60884823e31b3061b1a8799,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4659.39,5000.0
UR-20-5p0.cnf,782c70d5631cbc24bc659543ee69ca8b,695.042,868.979,1601.54,403.103,5000.0,412.427,901.082,680.977,550.431,974.789,1319.45
UR-15-10p0.cnf,a860cf613d4e0cb34c00f8b79611121d,751.397,889.738,1960.81,536.388,5000.0,543.491,810.661,543.503,764.941,1060.96,917.617
ctl_4291_567_2_unsat_pre.cnf,716543d904be1c6f399d65f1fd25095a,3257.89,2859.36,3185.97,2668.38,5000.0,3060.68,5000.0,1084.75,1311.99,1178.07,2571.92
ctl_4291_567_9_unsat.cnf,f950dafee8bd3d3f346b72510ee9f41f,799.664,876.008,755.898,905.489,5000.0,772.708,5000.0,443.328,470.44,545.815,744.36
ctl_4291_567_7_unsat.cnf,c1284e57481ce089e620925053b2eb40,1025.68,741.988,780.553,837.329,2324.49,777.027,5000.0,426.162,476.99,528.063,687.413
ctl_4291_567_9_unsat_pre.cnf,ae874a94389bac3313e1fd89869014c9,758.145,702.646,891.732,1121.93,5000.0,1219.09,5000.0,433.348,483.347,644.168,785.537
ctl_4291_567_12_unsat_pre.cnf,fe434a0137486571f66e465d19661a10,899.267,992.471,788.835,697.942,3102.11,601.589,896.827,546.943,672.45,604.366,699.722
k_unsat.cnf,173e4ee64c1de40066386509dff5d0f1,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4201_555_unsat.cnf,fa717e15e25e92a04c4f2ed10d210187,1838.17,2512.44,2997.99,2173.34,5000.0,2361.26,5000.0,793.166,865.809,941.427,1912.82
ctl_4201_555_unsat_pre.cnf,c575a5fb69f0d1d6884ba588b9078f4b,3719.66,3195.23,4020.28,2618.79,5000.0,2724.78,5000.0,763.606,995.237,1201.24,2715.12
bivium-40-200-0s0-0xd447c33176b6b675fd5f8dc3a5deda46569dc34eedf37da020-6.cnf,7955e187694db576fdfbb3b07b99ff39,5000.0,5000.0,2714.86,5000.0,5000.0,5000.0,5000.0,2534.96,5000.0,2864.95,3888.19
ctl_3082_415_unsat.cnf,1b1bb970cddedf332a556c40d7de3284,5000.0,2335.97,3002.83,2587.77,5000.0,2182.16,5000.0,682.918,902.499,954.885,2699.24
ctl_4291_567_7_unsat_pre.cnf,bc173345c2bf46326769a4766eaf6cbc,847.174,876.285,1207.84,1132.8,5000.0,1284.93,5000.0,439.343,516.186,587.221,762.577
b_unsat.cnf,c40cad77d14e171e1134e128a4ad365b,2290.17,2011.24,1413.85,1460.61,4198.56,1250.5,5000.0,942.453,1228.6,920.806,1907.16
minxorminand064.cnf,1394bf507e3ed448c81b5502d6550d78,141.28,110.576,122.635,253.771,3398.01,325.69,800.412,187.211,192.737,217.222,88.9665
6s20.cnf,c9bbf6fea41b040469d7001ffccee37d,2744.9,2777.52,5000.0,3711.07,5000.0,3971.59,5000.0,2292.11,3140.25,2870.66,5000.0
ctl_4291_567_1_unsat.cnf,773d418074b6b9509b6bb687d89efe2e,5000.0,5000.0,2092.73,2609.38,5000.0,2793.98,5000.0,766.808,970.515,911.371,2438.93
bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,0ae3a2a95f1bc240aef89572f47d88ca,5000.0,5000.0,4056.06,5000.0,5000.0,5000.0,5000.0,5000.0,4572.76,5000.0,5000.0
ctl_4291_567_1_unsat_pre.cnf,46ad5632615418a443775fc79840f004,5000.0,3697.55,5000.0,2443.71,5000.0,2245.94,5000.0,847.451,1202.16,1125.33,2821.89
ctl_4291_567_6_unsat.cnf,aacb9e1008a2dba331f390d59a27ed60,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
minandmaxor128.cnf,5b2e2178738883a628728bb1ec39f4a9,2778.85,2812.49,5000.0,4261.09,5000.0,4592.08,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_3082_415_unsat_pre.cnf,53e39ded520c9bd4471660021b2dcccc,2621.1,2269.92,2980.83,2217.91,5000.0,2772.37,5000.0,685.914,840.737,863.544,3722.56
ctl_4291_567_12_unsat.cnf,1ce37abcbb8439542001e09f48e54841,805.847,990.194,653.419,423.89,2496.89,500.996,1221.09,631.431,521.141,630.743,798.483
b_unsat_pre.cnf,d803299a1a472130cc997311f1f0cf08,1415.57,1343.81,1131.72,760.15,2407.8,688.338,5000.0,576.906,687.059,657.964,1248.23
ctl_4291_567_10_unsat_pre.cnf,b5f5d7fc9b2cef76046f0bd9d7ceb39a,1022.79,946.259,1269.58,1214.98,5000.0,1356.8,5000.0,548.041,620.563,746.794,966.109
ctl_4291_567_6_unsat_pre.cnf,6f0605ff0e448a47eaed348d55a16bc4,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4291_567_2_unsat.cnf,811f9b879a56da7c9475ed451490ead2,2168.49,2811.71,3922.83,4013.35,5000.0,2962.41,5000.0,934.485,1141.54,1176.3,3239.88
ctl_4291_567_8_unsat_pre.cnf,f8bd6fca4bd2adaaa64cc40b82565e2b,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4291_567_8_unsat.cnf,9e9509e53f24c36ad7cf4d2124b3c979,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4291_567_5_unsat.cnf,ec0b603035b374a0325d8e4748c17b67,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
aaai10-planning-ipc5-pathways-17-step20.cnf,8f0e3738453893efc8a2d1abcf0d190d,448.155,798.381,509.318,124.222,5000.0,169.468,5000.0,469.491,394.904,465.39,1991.26
ctl_3791_556_unsat.cnf,b07ffb3e91c0ceac55a5845e73cb7377,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4291_567_11_unsat.cnf,33022bb0cc379a2c3035f0b59b75c41b,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
aaai10-planning-ipc5-TPP-21-step11.cnf,00d93f117a3253605ad3ac6a153ec61f,2637.26,2536.32,5000.0,412.128,5000.0,403.155,5000.0,1310.85,1226.28,1383.04,5000.0
aaai10-planning-ipc5-pathways-13-step17.cnf,e7acb1f64be7eb3ff1367dad08444685,1847.07,1537.51,866.22,139.034,5000.0,136.5,5000.0,459.689,712.541,605.587,2126.48
